"绊蜡锅龋",过沥悼内靛,过沥悼疙,漂荐瘤备盒内靛,漂荐瘤备盒疙,瘤锅,扒绵拱措厘绊蜡锅龋,扁霖斥档,扁霖岿,悼内靛,悼疙,配瘤措厘搁利,魂沥措瘤搁利,扒拱傈眉楷搁利,扒拱魂沥楷搁利,林琶啊拜,钎霖瘤咯何,单捞磐扁霖老磊
4571025021102240000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0224-0012,4570000000000000000,2019,01,2,2悼,96,96,46.4,46.4,11700000,N,2019-10-10
4571025021102250000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0225-0002,4570000000000000000,2019,01,1,1悼,345,345,93.45,93.45,52200000,N,2019-10-10
4571025021102520000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0252-0007,4570000000000000000,2019,01,1,1悼,378,378,98.97,98.97,78700000,N,2019-10-10
4571025021102520000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0252-0008,4570000000000000000,2019,01,1,1悼,759,759,187.62,187.62,71000000,N,2019-10-10
4571025021102520000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0252-0008,4570000000000000000,2019,01,2,2悼,759,759,49.14,0,0,N,2019-10-10
4571025021102520000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0252-0010,4570000000000000000,2019,01,1,1悼,182,182,72.8,72.8,24200000,N,2019-10-10
4571025021102520000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0252-0012,4570000000000000000,2019,01,1,1悼,116,116,181.2,181.2,15200000,N,2019-10-10
4571025021102530000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0253-0001,4570000000000000000,2019,01,1,1悼,110,110,74.2,74.2,12800000,N,2019-10-10
4571025021102540000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0254-0006,4570000000000000000,2019,01,1,1悼,144,144,71.47,71.47,20500000,N,2019-10-10
4571025021102540000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0254-0011,4570000000000000000,2019,01,1,1悼,86,86,39.31,39.31,10400000,N,2019-10-10
4571025021102540000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0254-0012,4570000000000000000,2019,01,2,2悼,173,173,83.8,83.8,33200000,N,2019-10-10
4571025021102560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0256-0006,4570000000000000000,2019,01,1,1悼,191,191,33.1,33.1,51200000,N,2019-10-10
4571025021102560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0256-0011,4570000000000000000,2019,01,1,1悼,216,216,121.9,121.9,30700000,N,2019-10-10
4571025021102560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0256-0013,4570000000000000000,2019,01,1,1悼,241,241,84.73,84.73,39600000,N,2019-10-10
4571025021102560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0256-0016,4570000000000000000,2019,01,1,1悼,281,281,66.43,66.43,59400000,N,2019-10-10
4571025021102560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0256-0022,4570000000000000000,2019,01,1,1悼,305,305,39.3,39.3,21500000,N,2019-10-10
4571025021102560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0256-0022,4570000000000000000,2019,01,2,2悼,305,305,92.57,0,0,N,2019-10-10
4571025021102570000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0257-0001,4570000000000000000,2019,01,1,1悼,612,612,111.39,111.39,61600000,N,2019-10-10
4571025021102570000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0257-0001,4570000000000000000,2019,01,2,2悼,612,612,94.36,0,0,N,2019-10-10
4571025021102590000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0259-0001,4570000000000000000,2019,01,1,1悼,155,155,67.6,67.6,3040000,N,2019-10-10
4571025021102600000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0260-0001,4570000000000000000,2019,01,1,1悼,280,280,195.45,102.99,65400000,N,2019-10-10
4571025021102600000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0260-0003,4570000000000000000,2019,01,1,1悼,288,288,109.65,109.65,45500000,N,2019-10-10
4571025021102610000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0261-0001,4570000000000000000,2019,01,1,1悼,176,176,158.44,92.8,57900000,N,2019-10-10
4571025021102660000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0266-0001,4570000000000000000,2019,01,1,1悼,381,381,84.78,84.78,60200000,N,2019-10-10
4571025021102680000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0268-0002,4570000000000000000,2019,01,1,1悼,446,446,62.7,62.7,49300000,N,2019-10-10
4571025021102720000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0272-0002,4570000000000000000,2019,01,1,1悼,273,273,68.8,68.8,34300000,N,2019-10-10
4571025021102720000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0272-0004,4570000000000000000,2019,01,1,1悼,257,257,95.77,95.77,70900000,N,2019-10-10
4571025021102980000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0298-0006,4570000000000000000,2019,01,1,1悼,362,362,572.49,144.33,115000000,N,2019-10-10
4571025021102980000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0298-0010,4570000000000000000,2019,01,1,1悼,253,253,168.52,68.62,26600000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0011,4570000000000000000,2019,01,1,1悼,235,235,58.84,58.84,30800000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0023,4570000000000000000,2019,01,1,1悼,297,297,96.03,96.03,53000000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0030,4570000000000000000,2019,01,1,1悼,174,174,81.29,81.29,35400000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0031,4570000000000000000,2019,01,1,1悼,221,221,65.3,65.3,27900000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0045,4570000000000000000,2019,01,1,1悼,621,621,85.3,85.3,40000000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0045,4570000000000000000,2019,01,2,2悼,621,621,73.46,73.46,59100000,N,2019-10-10
4571025021103000000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0300-0047,4570000000000000000,2019,01,1,1悼,726,726,108.38,108.38,127000000,N,2019-10-10
4571025021103010000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0301-0001,4570000000000000000,2019,01,1,1悼,200,200,74.44,74.44,24800000,N,2019-10-10
4571025021103030000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0303-0000,4570000000000000000,2019,01,1,1悼,291,291,78.4,78.4,2220000,N,2019-10-10
4571025021103040000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0304-0000,4570000000000000000,2019,01,1,1悼,850,850,120.1,120.1,95200000,N,2019-10-10
4571025021103050000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0305-0001,4570000000000000000,2019,01,1,1悼,463,463,94.95,94.95,48900000,N,2019-10-10
4571025021103060000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0306-0006,4570000000000000000,2019,01,1,1悼,419,419,97.2,97.2,61600000,N,2019-10-10
4571025021103080000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0308-0002,4570000000000000000,2019,01,1,1悼,493,493,76.59,76.59,32200000,N,2019-10-10
4571025021103080000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0308-0002,4570000000000000000,2019,01,2,2悼,493,493,81.5,0,0,N,2019-10-10
4571025021103120000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0312-0001,4570000000000000000,2019,01,1,1悼,179,179,86,86,35400000,N,2019-10-10
4571025021103120000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0312-0002,4570000000000000000,2019,01,1,1悼,523,523,163.64,96,76600000,N,2019-10-10
4571025021103120000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0312-0012,4570000000000000000,2019,01,1,1悼,483,483,180.35,45.92,31300000,N,2019-10-10
4571025021103160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0316-0002,4570000000000000000,2019,01,1,1悼,264,264,81.86,81.86,45400000,N,2019-10-10
4571025021103180000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0318-0001,4570000000000000000,2019,01,1,1悼,463,463,66.12,66.12,25700000,N,2019-10-10
4571025021103180000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0318-0001,4570000000000000000,2019,01,2,2悼,463,463,100.2,0,0,N,2019-10-10
4571025021103280000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0328-0001,4570000000000000000,2019,01,1,1悼,132,132,45.66,45.66,16600000,N,2019-10-10
4571025021103300000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0330-0002,4570000000000000000,2019,01,1,1悼,383,383,68.31,68.31,67000000,N,2019-10-10
4571025021103300000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0330-0003,4570000000000000000,2019,01,1,1悼,132,132,83.3,83.3,40600000,N,2019-10-10
4571025021103300000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0330-0005,4570000000000000000,2019,01,1,1悼,331,331,97.74,97.74,78100000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0002,4570000000000000000,2019,01,1,1悼,314,314,83.07,83.07,49100000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0003,4570000000000000000,2019,01,1,1悼,331,331,41,41,38900000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0005,4570000000000000000,2019,01,1,1悼,399,399,83.49,83.49,69200000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0014,4570000000000000000,2019,01,1,1悼,499,499,59.2,59.2,58400000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0015,4570000000000000000,2019,01,1,1悼,383,383,81.7,81.7,45700000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0017,4570000000000000000,2019,01,1,1悼,396,396,186.28,112.98,74200000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0018,4570000000000000000,2019,01,1,1悼,231,231,48.9,48.9,31700000,N,2019-10-10
4571025021103310000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0331-0031,4570000000000000000,2019,01,1,1悼,272,272,99.72,99.72,56900000,N,2019-10-10
4571025021108550000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0855-0004,4570000000000000000,2019,01,1,1悼,171,171,65.9,65.9,24300000,N,2019-10-10
4571025021108560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0856-0012,4570000000000000000,2019,01,1,1悼,528,528,867.86,867.86,639000000,N,2019-10-10
4571025021108560000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0856-0016,4570000000000000000,2019,01,1,1悼,632,632,657.45,657.45,620000000,N,2019-10-10
4571025021108570000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0857-0002,4570000000000000000,2019,01,1,1悼,391,391,81.45,81.45,54800000,N,2019-10-10
4571025021108570000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0857-0004,4570000000000000000,2019,01,1,1悼,304,154,45.1,45.1,34600000,N,2019-10-10
4571025021108570000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0857-0005,4570000000000000000,2019,01,1,1悼,112,112,53,53,11200000,N,2019-10-10
4571025021108580000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0858-0002,4570000000000000000,2019,01,1,1悼,231,231,68.71,68.71,36300000,N,2019-10-10
4571025021108580000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0858-0002,4570000000000000000,2019,01,2,2悼,231,231,41.7,41.7,12100000,N,2019-10-10
4571025021108590000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0859-0001,4570000000000000000,2019,01,1,1悼,420,420,60,60,45200000,N,2019-10-10
4571025021108620000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0862-0000,4570000000000000000,2019,01,1,1悼,417,342.36,83.1,83.1,46000000,N,2019-10-10
4571025021108630000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0863-0016,4570000000000000000,2019,01,1,1悼,230,230,89.6,89.6,53000000,N,2019-10-10
4571025021108630000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0863-0018,4570000000000000000,2019,01,1,1悼,120,120,71.3,71.3,37600000,N,2019-10-10
4571025021108630000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0863-0020,4570000000000000000,2019,01,1,1悼,205,205,84.27,84.27,52100000,N,2019-10-10
4571025021108630000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0863-0021,4570000000000000000,2019,01,1,1悼,202,202,65,65,39400000,N,2019-10-10
4571025021108640000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0864-0020,4570000000000000000,2019,01,1,1悼,141,141,56.93,56.93,20600000,N,2019-10-10
4571025021108640000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0864-0020,4570000000000000000,2019,01,2,2悼,141,141,28.84,28.84,9790000,N,2019-10-10
4571025021108640000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0864-0025,4570000000000000000,2019,01,2,2悼,607,495.17,134.28,134.28,119000000,N,2019-10-10
4571025021108640000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0864-0027,4570000000000000000,2019,01,1,1悼,141,141,78.04,78.04,44800000,N,2019-10-10
4571025021108640000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0864-0029,4570000000000000000,2019,01,1,1悼,144,144,72.8,72.8,28300000,N,2019-10-10
4571025021108640000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0864-0030,4570000000000000000,2019,01,1,1悼,97,97,99.93,99.93,54500000,N,2019-10-10
4571025021108650000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0865-0001,4570000000000000000,2019,01,1,1悼,47,47,23.5,23.5,733000,N,2019-10-10
4571025021108650000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0865-0010,4570000000000000000,2019,01,1,1悼,263,263,105.8,105.8,64300000,N,2019-10-10
4571025021108660000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0866-0016,4570000000000000000,2019,01,1,1悼,233,233,422.53,137.83,121000000,N,2019-10-10
4571025021108660000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0866-0034,4570000000000000000,2019,01,1,1悼,38,38,75.9,75.9,17500000,N,2019-10-10
4571025021108660000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0866-0042,4570000000000000000,2019,01,1,1悼,340,340,159.96,49.7,96000000,N,2019-10-10
4571025021108660000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0866-0046,4570000000000000000,2019,01,1,1悼,496,496,94.6,94.6,110000000,N,2019-10-10
4571025021108660000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0866-0048,4570000000000000000,2019,01,1,1悼,198,198,155.8,155.8,57400000,N,2019-10-10
4571025021108980000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0898-0010,4570000000000000000,2019,01,1,1悼,212,212,228.93,26.07,33700000,N,2019-10-10
4571025021109040000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0904-0004,4570000000000000000,2019,01,1,1悼,179,179,65.2,65.2,34900000,N,2019-10-10
4571025021109040000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0904-0009,4570000000000000000,2019,01,1,1悼,687,613,773.99,149.31,193000000,N,2019-10-10
4571025021109050000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0905-0004,4570000000000000000,2019,01,1,1悼,198,198,89.1,89.1,64000000,N,2019-10-10
4571025021109050000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0905-0007,4570000000000000000,2019,01,1,1悼,218,218,80.6,80.6,184000000,N,2019-10-10
4571025021109050000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0905-0008,4570000000000000000,2019,01,1,1悼,59,59,42.7,42.7,23900000,N,2019-10-10
4571025021109050000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0905-0008,4570000000000000000,2019,01,2,2悼,59,59,70.5,0,0,N,2019-10-10
4571025021109060000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0906-0009,4570000000000000000,2019,01,1,1悼,85,85,43,24.1,33500000,N,2019-10-10
4571025021109060000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0906-0009,4570000000000000000,2019,01,2,2悼,85,85,62.5,0,0,N,2019-10-10
4571025021109090000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0909-0016,4570000000000000000,2019,01,1,1悼,86,86,167.1,108.26,83500000,N,2019-10-10
4571025021109100000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0910-0006,4570000000000000000,2019,01,1,1悼,116,116,227.18,49.7,37200000,N,2019-10-10
4571025021109100000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0910-0011,4570000000000000000,2019,01,1,1悼,752,752,759.59,182.54,205000000,N,2019-10-10
4571025021109100000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0910-0020,4570000000000000000,2019,01,1,1悼,151,151,434.3,89.1,62600000,N,2019-10-10
4571025021109150000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0915-0001,4570000000000000000,2019,01,1,1悼,288,288,483.4,163.96,134000000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0001,4570000000000000000,2019,01,1,1悼,388,388,106.6,106.6,78600000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0006,4570000000000000000,2019,01,1,1悼,180,180,83.68,83.68,52100000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0007,4570000000000000000,2019,01,1,1悼,527,527,93.98,93.98,115000000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0008,4570000000000000000,2019,01,1,1悼,220,220,86.9,86.9,47800000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0010,4570000000000000000,2019,01,1,1悼,569,413.13,146.6,146.6,94300000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0013,4570000000000000000,2019,01,1,1悼,400,385.36,92.9,92.9,93300000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0014,4570000000000000000,2019,01,1,1悼,217,202.26,98.24,98.24,74100000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0015,4570000000000000000,2019,01,1,1悼,198,198,75.6,75.6,49800000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0016,4570000000000000000,2019,01,1,1悼,121,121,69.77,69.77,34800000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0018,4570000000000000000,2019,01,1,1悼,418,418,136.98,136.98,98100000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0020,4570000000000000000,2019,01,1,1悼,188,188,30.5,30.5,34600000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0021,4570000000000000000,2019,01,1,1悼,256,256,50.4,50.4,45400000,N,2019-10-10
4571025021109160000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0916-0023,4570000000000000000,2019,01,1,1悼,418,418,83.16,83.16,94000000,N,2019-10-10
